"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","root_weight_plot","frogskin1_5","HCN_linamarase_10mon","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","lodging1_3_4mon","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep1_SM5008-33_8",1,8,3,2,"test"," (Operator: lizbethpino, Time: )","SM5008-33","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1.3,3.9,9.8,4.4,3,1,28.4468618570042,27.8,150,16.25,7.8,NA,NA,4,1,NA,12,7.5,8,20,3,270,40,4,3,1,3,2,22,3330,239,0,5,3,3,1,5,NA,6,25,16.25,4.62261505176318
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep1_SM5564-6_15",1,15,5,3,"test"," (Operator: lizbethpino, Time: )","SM5564-6","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,6,10,NA,NA
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia","Caiseli,Caiselli,CAISELLI","202328BCPRC_repe_rep1_SMB2446-2_5",1,5,2,2,"check","Alta pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",5.8,12,2.5,1.1,0,1,36.62331226659,35.9,270,27.9166666666667,13.4,NA,NA,4,1,NA,25,9.9,12,20,1,270,30,6,3,1,2,3,52,3930,449,0,20,1,2,1,1,NA,6,100,27.9166666666667,10.2240080077564
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia","Tai8","202328BCPRC_repe_rep1_TAI8_14",1,14,5,2,"check"," (Operator: lizbethpino, Time: ), Pudricion (Operator: lizbethpino, Time: )","TAI8_is_TAI","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",1.9,2.9,3.4,1.4,1,1,29.2459819186338,27.6,130,23.9583333333333,11.5,NA,NA,4,2,NA,24,10.2,10,20,2,220,30,6,1,2,2,2,36,4310,328,0,17,1,2,1,3,NA,6,85,23.9583333333333,7.00684983467267
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_CG1141-1_29",2,29,10,2,"check"," (Operator: lizbethpino, Time: ), Pudricion (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",7.3,27,1.5,1.2,0,1,34.7187253613666,35.8,280,14.5833333333333,7,NA,NA,4,2,NA,5,2.5,12,20,1,280,40,5,3,1,3,2,41,1700,178,11,20,1,2,1,1,NA,6,100,14.5833333333333,5.06314744853262
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_CM4919-1_25",2,25,9,1,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0.3,0.7,4,1.5,2,1,30.7083713583714,27.9,170,21.6666666666667,10.4,NA,NA,5,2,NA,17,6.5,12,20,2,280,30,5,3,1,3,2,48,3110,261,0,18,1,2,1,5,NA,6,90,21.6666666666667,6.65348046098048
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_COL2215_35",2,35,12,2,"check"," (Operator: lizbethpino, Time: ), Pudricion (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,1.5,0.6,3,1,35.4710319685923,35.8,100,24.5833333333333,11.8,NA,NA,4,2,NA,14,6.7,8,20,4,210,50,5,3,1,3,3,48,2000,217,6,12,2,3,1,1,NA,6,60,24.5833333333333,8.71996202561226
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_GM11319-3_21",2,21,7,3,"test"," (Operator: lizbethpino, Time: )","GM11319-3","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,6,10,NA,NA
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_GM11365-2_27",2,27,9,3,"test"," (Operator: lizbethpino, Time: )","GM11365-2","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,11.1,7.4,3,1,23.7461904761905,18.3,90,2.29166666666667,1.1,NA,NA,4,1,NA,3,0.9,8,20,4,230,30,2,3,1,4,2,7,330,15,2,3,1,3,1,6,NA,6,15,2.29166666666667,0.544183531746033
2023,"202328BCPRC_repe","202328BCPRC_repe",4,4,"2023-June-02","2024-February-20","Repelon. Atlantico, Colombia",NA,"202328BCPRC_repe_rep2_GM11781-1_31",2,31,11,1,"test"," (Operator: lizbethpino, Time: )","GM11781-1","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,6,20,NA,NA
